,Name,Unique Entry ID,Total_Google_Searches,Poll_Results,Overall_Popularity
0,Admiral,B3RyfNEqwGmcccRC3,2417200.0,632.0,2417832.0
1,Agent S,SGMdki6dzpDZyXAw5,2664010.0,1225.0,2665235.0
2,Agnes,jzWCiDPm9MqtCfecP,4731450.0,2535.0,4733985.0
3,Al,LBifxETQJGEaLhBjC,1618750.0,600.0,1619350.0
4,Alfonso,REpd8KxB8p9aGBRSE,913600.0,1230.0,914830.0
5,Alice,wkPJDHMMMTK24eqzC,2375400.0,1363.0,2376763.0
6,Alli,dcB3BpFLtcXHAbt5i,2022150.0,253.0,2022403.0
7,Amelia,gWpcHhfpuN4MSTdhF,2262850.0,704.0,2263554.0
8,Anabelle,gvdKbp6t9xMtx5swT,2360050.0,1001.0,2361051.0
9,Anchovy,T9ya79MPxRxcR4tae,4103700.0,692.0,4104392.0
10,Angus,jHQfWetzGf6Zhgt4u,2050450.0,363.0,2050813.0
11,Anicotti,oGr6N9vC3TD9raXbf,1270700.0,381.0,1271081.0
12,Ankha,AWdRRws22EGTxC7vc,7264000.0,13038.0,7277038.0
13,Annalisa,XTwyzscZPAA8LRdYN,2080050.0,586.0,2080636.0
14,Annalise,88YKJKvjin32GeG4H,867200.0,263.0,867463.0
15,Antonio,RQNii4nDE2AWswpgE,524450.0,1635.0,526085.0
16,Apollo,25sZq7NjGGADiEXtR,513600.0,5491.0,519091.0
17,Apple,bEHwPJ3GBDZaNE4Bd,1335850.0,5099.0,1340949.0
18,Astrid,qrki2afmbkBQ6DbmZ,591750.0,258.0,592008.0
19,Audie,2tufzN7iwjncqLu7Y,4911350.0,11842.0,4923192.0
20,Aurora,CXt3MBoeCZXXSRS7B,2836400.0,3226.0,2839626.0
21,Ava,93emjZzaaLb7BdkSn,2589950.0,394.0,2590344.0
22,Avery,SKF5NqPPqzjL7dEng,1565150.0,518.0,1565668.0
23,Axel,K3aj3w7fLcMETyuzf,1609700.0,655.0,1610355.0
24,Baabara,LAWZdKWcejrkbikco,1218200.0,305.0,1218505.0
25,Bam,2yvPukPn4ZSamngmb,955900.0,2733.0,958633.0
26,Bangle,DvL5iP2kNCNfwc6Mv,1665900.0,1079.0,1666979.0
27,Barold,6qZJQFWqeCHzPNyEZ,2580750.0,1347.0,2582097.0
28,Bea,DkqHjENW8fRBE9uxG,1701100.0,1359.0,1702459.0
29,Beardo,3XoqTm3LW4C4BvLBt,500350.0,748.0,501098.0
30,Beau,zbkkW8wWbmyGAZauv,517650.0,11411.0,529061.0
31,Becky,D7Atj8BuHK6mgwwvZ,1766550.0,199.0,1766749.0
32,Bella,hu4qewj6YKKmzMpYL,962250.0,749.0,962999.0
