,Villagers,Tally
0,Marshal,29787.0
1,Raymond,27778.0
2,Sherb,19883.0
3,Zucker,17442.0
4,Judy,14741.0
5,Marina,13129.0
6,Ankha,13038.0
7,Stitches,12548.0
8,Audie,11842.0
9,Fauna,11628.0
10,Beau,11411.0
11,Merengue,10971.0
12,Erik,10794.0
13,Dom,10775.0
14,Bob,10333.0
15,Coco,10163.0
16,Merry,10131.0
17,Roald,9805.0
18,Lolly,9243.0
19,Lucky,9208.0
20,Molly,9204.0
21,Maple,8594.0
22,Diana,8044.0
23,Ketchup,7354.0
24,Cherry,6095.0
25,Poppy,5776.0
26,Tangy,5608.0
27,Julian,5561.0
28,Apollo,5491.0
29,Pietro,5330.0
30,Rosie,5230.0
31,Apple,5099.0
32,Goldie,4693.0
33,Tia,4682.0
34,Filbert,4504.0
35,Whitney,4464.0
36,Octavian,4434.0
37,Flora,4298.0
38,Bluebear,4265.0
39,Fang,4130.0
40,Cookie,4087.0
41,Punchy,3969.0
42,Skye,3727.0
43,Kiki,3688.0
44,Lily,3665.0
45,Melba,3571.0
46,Clay,3425.0
47,Sprinkle,3421.0
48,Shino,3373.0
49,Flurry,3288.0
50,Dobie,3234.0
51,Aurora,3226.0
52,Pekoe,3155.0
53,Genji,3154.0
54,Kabuki,3012.0
55,Pashmina,2954.0
56,Ruby,2898.0
57,Wolfgang,2888.0
58,Zell,2839.0
59,Sasha,2786.0
60,Chevre,2745.0
61,Bam,2733.0
62,Kid Cat,2669.0
63,Agnes,2535.0
64,Tabby,2534.0
65,Bill,2362.0
66,Daisy,2357.0
67,Muffy,2295.0
68,Chrissy,2262.0
69,Reneigh,2242.0
70,Katt,2224.0
71,Hornsby,2216.0
72,Kyle,2184.0
73,Bones,2164.0
74,Phoebe,2149.0
75,Ione,2131.0
76,Bianca,2006.0
77,Gayle,1884.0
78,Bunnie,1858.0
79,Shep,1841.0
80,Static,1767.0
81,Peanut,1766.0
82,Sylvana,1755.0
